index,mid,display_name,display_name_es
70,/m/05tny_,Bark,"Ladrar, ladrido"
71,/m/07r_k2n,Yip,"Aullido, quejido agudo"
72,/m/07qf0zm,Howl,"Aullar, aullido"
73,/m/07rc7d9,Bow-wow,"Guau-guau, ladrido"
74,/m/0ghcn6,Growling,"Gruñir, gruñido"
75,/t/dd00136,Whimper (dog),"Gemir, lloriqueo (de perro)"
76,/m/01yrx,Cat,"Gato, felino"
77,/m/02yds9,Purr,"Ronronear, ronroneo"
78,/m/07qrkrw,Meow,"Maullar, maullido"
79,/m/07rjwbb,Hiss,Siseo
80,/m/07r81j2,Caterwaul,Alarido
81,/m/0ch8v,"Livestock, farm animals, working animals","Ganado, animales de granja, animales de trabajo"
82,/m/03k3r,Horse,Caballo
83,/m/07rv9rh,Clip-clop,Clip-clop
84,/m/07q5rw0,"Neigh, whinny",Relincho
85,/m/01xq0k1,"Cattle, bovinae",Bovinos
86,/m/07rpkh9,Moo,Muu
87,/m/0239kh,Cowbell,Cencerro
88,/m/068zj,Pig,Cerdo
89,/t/dd00018,Oink,Oink
90,/m/03fwl,Goat,Cabra
91,/m/07q0h5t,Bleat,Balido
92,/m/07bgp,Sheep,Oveja
93,/m/025rv6n,Fowl,Aves de corral
94,/m/09b5t,"Chicken, rooster","Gallina, gallo"
95,/m/07st89h,Cluck,Cloqueo
96,/m/07qn5dc,"Crowing, cock-a-doodle-doo",Canto del gallo
97,/m/01rd7k,Turkey,Pavo
98,/m/07svc2k,Gobble,Gorgoteo
99,/m/09ddx,Duck,Pato
100,/m/07qdb04,Quack,Cua-cua
101,/m/0dbvp,Goose,Ganso
102,/m/07qwf61,Honk,Bocina
103,/m/01280g,Wild animals,Animales salvajes
104,/m/0cdnk,"Roaring cats (lions, tigers)","Felinos rugientes (leones, tigres)"
105,/m/04cvmfc,Roar,Rugido
106,/m/015p6,Bird,Pájaro
107,/m/020bb7,"Bird vocalization, bird call, bird song","Vocalización de aves, canto de aves"
108,/m/07pggtn,"Chirp, tweet",Pío
109,/m/07sx8x_,Squawk,Chillido
110,/m/0h0rv,"Pigeon, dove",Paloma
111,/m/07r_25d,Coo,Arrullo
112,/m/04s8yn,Crow,Cuervo
113,/m/07r5c2p,Caw,Graznido
114,/m/09d5_,Owl,Búho
115,/m/07r_80w,Hoot,Ululato
116,/m/05_wcq,"Bird flight, flapping wings","Vuelo de aves, aleteo de alas"
117,/m/01z5f,"Canidae, dogs, wolves","Canidae, perros, lobos"
118,/m/06hps,"Rodents, rats, mice","Roedores, ratas, ratones"
119,/m/04rmv,Mouse,Ratón
120,/m/07r4gkf,Patter,Pisadas rápidas
121,/m/03vt0,Insect,Insecto
122,/m/09xqv,Cricket,Grillo
123,/m/09f96,Mosquito,Mosquito
124,/m/0h2mp,"Fly, housefly","Moscas, mosca común"
125,/m/07pjwq1,Buzz,Zumbido
126,/m/01h3n,"Bee, wasp, etc.","Abeja, avispa, etc."
127,/m/09ld4,Frog,Rana
128,/m/07st88b,Croak,Croar
129,/m/078jl,Snake,Serpiente
130,/m/07qn4z3,Rattle,Cascabeleo
131,/m/032n05,Whale vocalization,Vocalización de ballenas
132,/m/04rlf,Music,Música
133,/m/04szw,Musical instrument,Instrumento musical
134,/m/0fx80y,Plucked string instrument,Instrumento de cuerda pulsada
135,/m/0342h,Guitar,Guitarra
136,/m/02sgy,Electric guitar,Guitarra eléctrica
137,/m/018vs,Bass guitar,Bajo eléctrico
138,/m/042v_gx,Acoustic guitar,Guitarra acústica
139,/m/06w87,"Steel guitar, slide guitar","Guitarra de acero, guitarra de diapositivas"
140,/m/01glhc,Tapping (guitar technique),Tapping (técnica de guitarra)
141,/m/07s0s5r,Strum,Rasgueo
142,/m/018j2,Banjo,Banjo
143,/m/0jtg0,Sitar,Sitar
144,/m/04rzd,Mandolin,Mandolina
145,/m/01bns_,Zither,Cítara
146,/m/07xzm,Ukulele,Ukelele
147,/m/05148p4,Keyboard (musical),Teclado (musical)
148,/m/05r5c,Piano,Piano
149,/m/01s0ps,Electric piano,Piano eléctrico
150,/m/013y1f,Organ,Órgano
151,/m/03xq_f,Electronic organ,Órgano electrónico
152,/m/03gvt,Hammond organ,Órgano Hammond
153,/m/0l14qv,Synthesizer,Sintetizador
154,/m/01v1d8,Sampler,Sampler
155,/m/03q5t,Harpsichord,Clavicémbalo
156,/m/0l14md,Percussion,Percusión
157,/m/02hnl,Drum kit,Batería
158,/m/0cfdd,Drum machine,Máquina de ritmos
159,/m/026t6,Drum,Tambor
160,/m/06rvn,Snare drum,Caja
161,/m/03t3fj,Rimshot,Rimshot
162,/m/02k_mr,Drum roll,Redoble de tambor
163,/m/0bm02,Bass drum,Bombo
164,/m/011k_j,Timpani,Timbales
165,/m/01p970,Tabla,Tabla
166,/m/01qbl,Cymbal,Platillo
167,/m/03qtq,Hi-hat,Hi-hat
168,/m/01sm1g,Wood block,Bloque de madera
169,/m/07brj,Tambourine,Pandereta
170,/m/05r5wn,Rattle (instrument),Sonaja
171,/m/0xzly,Maraca,Maraca
172,/m/0mbct,Gong,Gong
173,/m/016622,Tubular bells,Campanas tubulares
174,/m/0j45pbj,Mallet percussion,Percusión de mazos
175,/m/0dwsp,"Marimba, xylophone","Marimba, xilófono"
176,/m/0dwtp,Glockenspiel,Carillón
177,/m/0dwt5,Vibraphone,Vibráfono
178,/m/0l156b,Steelpan,Steelpan
179,/m/05pd6,Orchestra,Orquesta
180,/m/01kcd,Brass instrument,Instrumento de viento metal
181,/m/0319l,French horn,Corno francés
182,/m/07gql,Trumpet,Trompeta
183,/m/07c6l,Trombone,Trombón
184,/m/0l14_3,Bowed string instrument,Instrumento de cuerda frotada
185,/m/02qmj0d,String section,Sección de cuerdas
186,/m/07y_7,"Violin, fiddle","Violín, violín popular"
187,/m/0d8_n,Pizzicato,Pizzicato
188,/m/01xqw,Cello,Cello
189,/m/02fsn,Double bass,Contrabajo
190,/m/085jw,"Wind instrument, woodwind instrument","Instrumento de viento, instrumento de viento de madera"
191,/m/0l14j_,Flute,Flauta
192,/m/06ncr,Saxophone,Saxofón
193,/m/01wy6,Clarinet,Clarinete
194,/m/03m5k,Harp,Arpa
195,/m/0395lw,Bell,Campana
196,/m/03w41f,Church bell,Campana de la iglesia
197,/m/027m70_,Jingle bell,Campana de trineo
198,/m/0gy1t2s,Bicycle bell,Campana de bicicleta
199,/m/07n_g,Tuning fork,Diapasón
200,/m/0f8s22,Chime,Carillón
201,/m/026fgl,Wind chime,Móvil de viento
202,/m/0150b9,Change ringing (campanology),Campanario (campanología)
203,/m/03qjg,Harmonica,Armónica
204,/m/0mkg,Accordion,Acordeón
205,/m/0192l,Bagpipes,Gaita
206,/m/02bxd,Didgeridoo,Didgeridoo
207,/m/0l14l2,Shofar,Shofar
208,/m/07kc_,Theremin,Theremin
209,/m/0l14t7,Singing bowl,Cuenco tibetano
210,/m/01hgjl,Scratching (performance technique),Scratching (técnica de interpretación)
211,/m/064t9,Pop music,Música pop
212,/m/0glt670,Hip hop music,Música hip hop
213,/m/02cz_7,Beatboxing,Beatboxing
214,/m/06by7,Rock music,Música rock
215,/m/03lty,Heavy metal,Heavy metal
216,/m/05r6t,Punk rock,Punk rock
217,/m/0dls3,Grunge,Grunge
218,/m/0dl5d,Progressive rock,Rock progresivo
219,/m/07sbbz2,Rock and roll,Rock and roll
220,/m/05w3f,Psychedelic rock,Rock psicodélico
221,/m/06j6l,Rhythm and blues,Rhythm and blues
222,/m/0gywn,Soul music,Música soul
223,/m/06cqb,Reggae,Reggae
224,/m/01lyv,Country,País
225,/m/015y_n,Swing music,Música swing
226,/m/0gg8l,Bluegrass,Bluegrass
227,/m/02x8m,Funk,Funk
228,/m/02w4v,Folk music,Música folk
229,/m/06j64v,Middle Eastern music,Música del Medio Oriente
230,/m/03_d0,Jazz,Jazz
231,/m/026z9,Disco,Disco
232,/m/0ggq0m,Classical music,Música clásica
233,/m/05lls,Opera,Ópera
234,/m/02lkt,Electronic music,Música electrónica
235,/m/03mb9,House music,Música house
236,/m/07gxw,Techno,Tecno
237,/m/07s72n,Dubstep,Dubstep
238,/m/0283d,Drum and bass,Drum and bass
239,/m/0m0jc,Electronica,Electronica
240,/m/08cyft,Electronic dance music,Música de baile electrónica
241,/m/0fd3y,Ambient music,Música ambiental
242,/m/07lnk,Trance music,Música trance
243,/m/0g293,Music of Latin America,Música de América Latina
244,/m/0ln16,Salsa music,Música salsa
245,/m/0326g,Flamenco,Flamenco
246,/m/0155w,Blues,Blues
247,/m/05fw6t,Music for children,Música para niños
248,/m/02v2lh,New-age music,Música de nueva era
249,/m/0y4f8,Vocal music,Música vocal
250,/m/0z9c,A capella,A capella
251,/m/0164x2,Music of Africa,Música de África
252,/m/0145m,Afrobeat,Afrobeat
253,/m/02mscn,Christian music,Música cristiana
254,/m/016cjb,Gospel music,Música gospel
255,/m/028sqc,Music of Asia,Música de Asia
256,/m/015vgc,Carnatic music,Música carnática
257,/m/0dq0md,Music of Bollywood,Música de Bollywood
258,/m/06rqw,Ska,Ska
259,/m/02p0sh1,Traditional music,Música tradicional
260,/m/05rwpb,Independent music,Música independiente
261,/m/074ft,Song,Canción
262,/m/025td0t,Background music,Música de fondo
263,/m/02cjck,Theme music,Música temática
264,/m/03r5q_,Jingle (music),Jingle (música)
265,/m/0l14gg,Soundtrack music,Música de la banda sonora
266,/m/07pkxdp,Lullaby,Canción de cuna
267,/m/01z7dr,Video game music,Música de videojuegos
268,/m/0140xf,Christmas music,Música navideña
269,/m/0ggx5q,Dance music,Música de baile
270,/m/04wptg,Wedding music,Música de boda
271,/t/dd00031,Happy music,Música alegre
272,/t/dd00033,Sad music,Música triste
273,/t/dd00034,Tender music,Música tierna
274,/t/dd00035,Exciting music,Música emocionante
275,/t/dd00036,Angry music,Música enojada
276,/t/dd00037,Scary music,Música de miedo
277,/m/03m9d0z,Wind,Viento
278,/m/09t49,Rustling leaves,Ruido de hojas arrastradas por el viento
279,/t/dd00092,Wind noise (microphone),Ruido del viento (micrófono)
280,/m/0jb2l,Thunderstorm,Tormenta eléctrica
281,/m/0ngt1,Thunder,Trueno
282,/m/0838f,Water,Agua
283,/m/06mb1,Rain,Lluvia
284,/m/07r10fb,Raindrop,Gota de lluvia
285,/t/dd00038,Rain on surface,Lluvia sobre una superficie
286,/m/0j6m2,Stream,Arroyo
287,/m/0j2kx,Waterfall,Catarata
288,/m/05kq4,Ocean,Océano
289,/m/034srq,"Waves, surf","Olas, oleaje"
290,/m/06wzb,Steam,Vapor
291,/m/07swgks,Gurgling,Borboteo
292,/m/02_41,Fire,Fuego
293,/m/07pzfmf,Crackle,Crepitar
294,/m/07yv9,Vehicle,Vehículo
295,/m/019jd,"Boat, Water vehicle","Barco, vehículo acuático"
296,/m/0hsrw,"Sailboat, sailing ship","Velero, barco de vela"
297,/m/056ks2,"Rowboat, canoe, kayak","Bote de remos, canoa, kayak"
298,/m/02rlv9,"Motorboat, speedboat","Lancha motora, lancha rápida"
299,/m/06q74,Ship,Barco grande
300,/m/012f08,Motor vehicle (road),Vehículo motorizado (carretera)
301,/m/0k4j,Car,Coche
302,/m/0912c9,"Vehicle horn, car horn, honking","Claxon, bocina del coche"
303,/m/07qv_d5,Toot,Pitido
304,/m/02mfyn,Car alarm,Alarma del coche
305,/m/04gxbd,"Power windows, electric windows",Ventanas eléctricas
306,/m/07rknqz,Skidding,Derrape
307,/m/0h9mv,Tire squeal,Chirrido de neumáticos
308,/t/dd00134,Car passing by,Coche pasando
309,/m/0ltv,"Race car, auto racing","Coche de carreras, automovilismo"
310,/m/07r04,Truck,Camión
311,/m/0gvgw0,Air brake,Freno de aire
312,/m/05x_td,"Air horn, truck horn",Claxon de camión
313,/m/02rhddq,Reversing beeps,Pitidos de marcha atrás
314,/m/03cl9h,"Ice cream truck, ice cream van",Camión de helados
315,/m/01bjv,Bus,Autobús
316,/m/03j1ly,Emergency vehicle,Vehículo de emergencia
317,/m/04qvtq,Police car (siren),Coche de policía (sirena)
318,/m/012n7d,Ambulance (siren),Ambulancia (sirena)
319,/m/012ndj,"Fire engine, fire truck (siren)",Camión de bomberos (sirena)
320,/m/04_sv,Motorcycle,Motocicleta
321,/m/0btp2,"Traffic noise, roadway noise","Ruido del tráfico, ruido de la carretera"
322,/m/06d_3,Rail transport,Transporte ferroviario
323,/m/07jdr,Train,Tren
324,/m/04zmvq,Train whistle,Silbato de tren
325,/m/0284vy3,Train horn,Bocina de tren
326,/m/01g50p,"Railroad car, train wagon",Vagón de tren
327,/t/dd00048,Train wheels squealing,Chirrido de las ruedas del tren
328,/m/0195fx,"Subway, metro, underground",Metro
329,/m/0k5j,Aircraft,Aeronave
330,/m/014yck,Aircraft engine,Motor de aeronave
331,/m/04229,Jet engine,Motor de avión a reacción
332,/m/02l6bg,"Propeller, airscrew","Hélice, hélice de avión"
333,/m/09ct_,Helicopter,Helicóptero
334,/m/0cmf2,"Fixed-wing aircraft, airplane",Avión de ala fija
335,/m/0199g,Bicycle,Bicicleta
336,/m/06_fw,Skateboard,Patineta
337,/m/02mk9,Engine,Motor
338,/t/dd00065,Light engine (high frequency),Motor ligero (alta frecuencia)
339,/m/08j51y,"Dental drill, dentist's drill",Taladro dental
340,/m/01yg9g,Lawn mower,Cortacésped
341,/m/01j4z9,Chainsaw,Motosierra
342,/t/dd00066,Medium engine (mid frequency),Motor mediano (frecuencia media)
343,/t/dd00067,Heavy engine (low frequency),Motor pesado (baja frecuencia)
344,/m/01h82_,Engine knocking,Golpeteo del motor
345,/t/dd00130,Engine starting,Encendido del motor
346,/m/07pb8fc,Idling,Ralentí
347,/m/07q2z82,"Accelerating, revving, vroom","Acelerando, subiendo de revoluciones, vroom"
348,/m/02dgv,Door,Puerta
349,/m/03wwcy,Doorbell,Timbre de la puerta
350,/m/07r67yg,Ding-dong,Ding-dong (timbre de una campana)
351,/m/02y_763,Sliding door,Deslizamiento de puerta
352,/m/07rjzl8,Slam,Portazo
353,/m/07r4wb8,Knock,Golpe
354,/m/07qcpgn,Tap,Toque
355,/m/07q6cd_,Squeak,Chirrido
356,/m/0642b4,Cupboard open or close,Abrir o cerrar un armario
357,/m/0fqfqc,Drawer open or close,Abrir o cerrar un cajón
358,/m/04brg2,"Dishes, pots, and pans","Sonidos de vajilla, ollas y sartenes"
359,/m/023pjk,"Cutlery, silverware",Cubiertos
360,/m/07pn_8q,Chopping (food),Picar o cortar (comida)
361,/m/0dxrf,Frying (food),Freír (comida)
362,/m/0fx9l,Microwave oven,Horno de microondas
363,/m/02pjr4,Blender,Licuadora
364,/m/02jz0l,"Water tap, faucet",Agua corriendo de una llave
365,/m/0130jx,Sink (filling or washing),Fregadero llenándose o siendo lavado
366,/m/03dnzn,Bathtub (filling or washing),Bañera llenándose o siendo lavada
367,/m/03wvsk,Hair dryer,Secador de pelo
368,/m/01jt3m,Toilet flush,Descarga del inodoro
369,/m/012xff,Toothbrush,Cepillo de dientes
370,/m/04fgwm,Electric toothbrush,Cepillo de dientes eléctrico
371,/m/0d31p,Vacuum cleaner,Aspiradora
372,/m/01s0vc,Zipper (clothing),Cremallera
373,/m/03v3yw,Keys jangling,Llaves tintineando
374,/m/0242l,Coin (dropping),Moneda cayendo
375,/m/01lsmm,Scissors,Tijeras
376,/m/02g901,"Electric shaver, electric razor",Afeitadora eléctrica
377,/m/05rj2,Shuffling cards,Barajar cartas
378,/m/0316dw,Typing,Tecleando
379,/m/0c2wf,Typewriter,Máquina de escribir
380,/m/01m2v,Computer keyboard,Teclado de computadora
381,/m/081rb,Writing,Escritura
382,/m/07pp_mv,Alarm,Alarma
383,/m/07cx4,Telephone,Teléfono
384,/m/07pp8cl,Telephone bell ringing,Timbre del teléfono
385,/m/01hnzm,Ringtone,Tonos de llamada
386,/m/02c8p,"Telephone dialing, DTMF",Tonos de marcación
387,/m/015jpf,Dial tone,Tono de marcado
388,/m/01z47d,Busy signal,Señal de línea ocupada
389,/m/046dlr,Alarm clock,Despertador
390,/m/03kmc9,Siren,Sirena
391,/m/0dgbq,Civil defense siren,Sirena de defensa civil
392,/m/030rvx,Buzzer,Zumbador
393,/m/01y3hg,"Smoke detector, smoke alarm",Detector de humo
394,/m/0c3f7m,Fire alarm,Alarma de incendios
395,/m/04fq5q,Foghorn,Bocina de niebla
396,/m/0l156k,Whistle,Silbato
397,/m/06hck5,Steam whistle,Silbato de vapor
398,/t/dd00077,Mechanisms,Mecanismos
399,/m/02bm9n,"Ratchet, pawl","Rueda dentada, trinquete"
400,/m/01x3z,Clock,Reloj
401,/m/07qjznt,Tick,Tictac
402,/m/07qjznl,Tick-tock,Tick-tock
403,/m/0l7xg,Gears,Mecanismos de engranajes
404,/m/05zc1,Pulleys,Poleas
405,/m/0llzx,Sewing machine,Máquina de coser
406,/m/02x984l,Mechanical fan,Ventilador mecánico
407,/m/025wky1,Air conditioning,Aire acondicionado
408,/m/024dl,Cash register,Caja registradora
409,/m/01m4t,Printer,Impresora
410,/m/0dv5r,Camera,Cámara
411,/m/07bjf,Single-lens reflex camera,Cámara réflex de lente única
412,/m/07k1x,Tools,Herramientas
413,/m/03l9g,Hammer,Martillo
414,/m/03p19w,Jackhammer,Martillo neumático
415,/m/01b82r,Sawing,Serrar
416,/m/02p01q,Filing (rasp),Limar (escofina)
417,/m/023vsd,Sanding,Lijado
418,/m/0_ksk,Power tool,Herramienta eléctrica
419,/m/01d380,Drill,Taladro
420,/m/014zdl,Explosion,Explosión
421,/m/032s66,"Gunshot, gunfire",Disparo de arma de fuego
422,/m/04zjc,Machine gun,Ametralladora
423,/m/02z32qm,Fusillade,Balacera
424,/m/0_1c,Artillery fire,Fuego de artillería
425,/m/073cg4,Cap gun,Cañón de gorra
426,/m/0g6b5,Fireworks,Fuegos artificiales
427,/g/122z_qxw,Firecracker,Petardo
428,/m/07qsvvw,"Burst, pop","Explosión, estallido"
429,/m/07pxg6y,Eruption,Erupción
430,/m/07qqyl4,Boom,Boom
431,/m/083vt,Wood,Madera
432,/m/07pczhz,Chop,Picar
433,/m/07pl1bw,Splinter,Astilla
434,/m/07qs1cx,Crack,Grieta
435,/m/039jq,Glass,Cristal
436,/m/07q7njn,"Chink, clink","Chink, clink"
437,/m/07rn7sz,Shatter,Romper
438,/m/04k94,Liquid,Líquido
439,/m/07rrlb6,"Splash, splatter","Salpicar, salpicar"
440,/m/07p6mqd,Slosh,Slosh
441,/m/07qlwh6,Squish,Aplastar
442,/m/07r5v4s,Drip,Gotear
443,/m/07prgkl,Pour,Verter
444,/m/07pqc89,"Trickle, dribble",Goteo
445,/t/dd00088,Gush,Chorro
446,/m/07p7b8y,Fill (with liquid),Llenar (de líquido)
447,/m/07qlf79,Spray,Pulverizar
448,/m/07ptzwd,Pump (liquid),Bombear (líquido)
449,/m/07ptfmf,Stir,Remover
450,/m/0dv3j,Boiling,Hervir
451,/m/0790c,Sonar,Sonar
452,/m/0dl83,Arrow,Flecha
453,/m/07rqsjt,"Whoosh, swoosh, swish","Whoosh, swoosh, swish"
454,/m/07qnq_y,"Thump, thud","Thump, thud"
455,/m/07rrh0c,Thunk,Thunk
456,/m/0b_fwt,Electronic tuner,Sintonizador electrónico
457,/m/02rr_,Effects unit,Unidad de efectos
458,/m/07m2kt,Chorus effect,Efecto coro
459,/m/018w8,Basketball bounce,Rebote de baloncesto
460,/m/07pws3f,Bang,Bang
461,/m/07ryjzk,"Slap, smack","Bofetada, bofetada"
462,/m/07rdhzs,"Whack, thwack","Whack, thwack"
463,/m/07pjjrj,"Smash, crash","Smash, crash"
464,/m/07pc8lb,Breaking,Romper
465,/m/07pqn27,Bouncing,Rebote
466,/m/07rbp7_,Whip,Látigo
467,/m/07pyf11,Flap,Aleteo
468,/m/07qb_dv,Scratch,Rascar
469,/m/07qv4k0,Scrape,Raspar
470,/m/07pdjhy,Rub,Frotar
471,/m/07s8j8t,Roll,Rodar
472,/m/07plct2,Crushing,Aplastar
473,/t/dd00112,"Crumpling, crinkling","Aplastar, arrugar"
474,/m/07qcx4z,Tearing,Desgarrar
475,/m/02fs_r,"Beep, bleep","Pitar, pitar"
476,/m/07qwdck,Ping,Ping
477,/m/07phxs1,Ding,Ding
478,/m/07rv4dm,Clang,Clang
479,/m/07s02z0,Squeal,Chillido
480,/m/07qh7jl,Creak,Crujido
481,/m/07qwyj0,Rustle,Crujido
482,/m/07s34ls,Whir,Whir
483,/m/07qmpdm,Clatter,Traqueteo
484,/m/07p9k1k,Sizzle,Chisporroteo
485,/m/07qc9xj,Clicking,Chasquido
486,/m/07rwm0c,Clickety-clack,Clickety-clack
487,/m/07phhsh,Rumble,Retumbar
488,/m/07qyrcz,Plop,Plop
489,/m/07qfgpx,"Jingle, tinkle","Tintineo, tintineo"
490,/m/07rcgpl,Hum,Zumbido
491,/m/07p78v5,Zing,Zing
492,/t/dd00121,Boing,Boing
493,/m/07s12q4,Crunch,Crujido
494,/m/028v0c,Silence,Silencio
495,/m/01v_m0,Sine wave,Onda sinusoidal
496,/m/0b9m1,Harmonic,Armónico
497,/m/0hdsk,Chirp tone,Tono chirriante
498,/m/0c1dj,Sound effect,Efecto sonoro
499,/m/07pt_g0,Pulse,Pulso
500,/t/dd00125,"Inside, small room","Interior, habitación pequeña"
501,/t/dd00126,"Inside, large room or hall","Interior, sala grande o vestíbulo"
502,/t/dd00127,"Inside, public space","Interior, espacio público"
503,/t/dd00128,"Outside, urban or manmade","Exterior, urbano o artificial"
504,/t/dd00129,"Outside, rural or natural","Exterior, rural o natural"
505,/m/01b9nn,Reverberation,Reverberación
506,/m/01jnbd,Echo,Eco
507,/m/096m7z,Noise,Ruido
508,/m/06_y0by,Environmental noise,Ruido ambiental
509,/m/07rgkc5,Static,Estática
510,/m/06xkwv,Mains hum,Zumbido de red
511,/m/0g12c5,Distortion,Distorsión
512,/m/08p9q4,Sidetone,Tono lateral
513,/m/07szfh9,Cacophony,Cacofonía
514,/m/0chx_,White noise,Ruido blanco
515,/m/0cj0r,Pink noise,Ruido rosa
516,/m/07p_0gm,Throbbing,Palpitante
517,/m/01jwx6,Vibration,Vibración
518,/m/07c52,Television,Televisión
519,/m/06bz3,Radio,Radio
520,/m/07hvw1,Field recording,Grabación de campo
